Customer ID,ultima_compra,primera_compra,Frequency,Monetary,Recency
12346,2011-01-18 10:01:00,2009-12-14 08:34:00,12,77556.46,325
12347,2011-12-07 15:52:00,2010-10-31 14:20:00,8,5633.32,1
12348,2011-09-25 13:13:00,2010-09-27 14:59:00,5,2019.4,74
12349,2011-11-21 09:51:00,2010-04-29 13:20:00,4,4428.69,18
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,309
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,374
12352,2011-11-03 14:37:00,2010-11-12 10:20:00,10,2849.84,35
12353,2011-05-19 17:47:00,2010-10-27 12:44:00,2,406.76,203
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,231
12355,2011-05-09 13:49:00,2010-05-21 11:59:00,2,947.61,213
12356,2011-11-17 08:40:00,2010-10-11 09:42:00,6,6373.68,22
12357,2011-11-06 16:07:00,2010-11-16 10:05:00,3,18287.66,32
12358,2011-12-08 10:26:00,2009-12-08 07:59:00,5,3887.07,1
12359,2011-10-13 12:47:00,2009-12-05 13:32:00,10,8935.94,57
12360,2011-10-18 15:22:00,2010-02-22 09:32:00,8,4252.89,51
12361,2011-02-25 13:51:00,2010-01-26 14:37:00,4,511.25,286
12362,2011-12-06 15:40:00,2009-12-01 10:10:00,11,5356.23,2
12363,2011-08-22 10:18:00,2011-04-11 13:29:00,2,552.0,109
12364,2011-12-02 10:22:00,2011-08-19 15:24:00,4,1313.1,7
12365,2011-02-21 14:04:00,2011-02-21 13:51:00,2,641.38,290
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,500.24,633
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,3
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,917.6999999999999,627
12369,2010-10-22 13:13:00,2010-03-08 08:09:00,3,1791.15,412
12370,2011-10-19 14:51:00,2010-02-09 09:41:00,7,4320.31,50
12371,2011-10-26 10:16:00,2010-03-04 18:23:00,5,4067.38,44
12372,2011-09-29 12:12:00,2011-02-16 12:46:00,3,1298.04,71
12373,2011-02-01 13:10:00,2010-02-04 12:08:00,3,1127.65,310
12374,2011-11-14 15:37:00,2010-04-30 14:01:00,4,2989.2200000000003,24
