observation_date,clientes_activos,churn_rate
2010-06-01,2703,0.5046244913059563
2010-07-01,2757,0.4925643815741748
2010-08-01,2832,0.4307909604519774
2010-09-01,2868,0.38354253835425384
2010-10-01,2924,0.42270861833105333
2010-11-01,3222,0.5090006207324643
2010-12-01,3497,0.6213897626537032
2011-01-01,3428,0.6242707117852976
2011-02-01,3386,0.6048434731246308
2011-03-01,3358,0.5780226325193567
2011-04-01,3321,0.5621800662451069
2011-05-01,3060,0.5212418300653595
2011-06-01,2718,0.506990434142752
2011-07-01,2724,0.48274596182085167
2011-08-01,2783,0.4434063959755659
2011-09-01,2813,0.3970849626733025
