CustomerID,observation_date,window_month_year,recency_days,frequency,monetary,return_rate,customer_age_days,avg_items_per_transaction,unique_products,avg_order_value,churn,future_monetary_90d
12346,2010-06-01,2010-06,90,10,230.55,0.09090909090909091,78,5.1,7,23.055,0,142.31
12349,2010-06-01,2010-06,13,2,1268.52,0.3333333333333333,18,237.0,47,634.26,1,0.0
12355,2010-06-01,2010-06,10,1,488.21000000000004,0.0,0,303.0,22,488.21000000000004,1,0.0
12358,2010-06-01,2010-06,174,1,1429.83,0.0,0,309.0,17,1429.83,0,268.1
12359,2010-06-01,2010-06,69,4,1522.23,0.3333333333333333,107,194.25,65,380.5575,0,489.8
12360,2010-06-01,2010-06,6,3,780.04,0.25,92,252.0,44,260.0133333333333,1,0.0
12361,2010-06-01,2010-06,22,2,207.35000000000002,0.0,103,41.5,11,103.67500000000001,1,0.0
12362,2010-06-01,2010-06,181,1,130.0,0.0,0,1.0,1,130.0,1,0.0
12366,2010-06-01,2010-06,76,1,500.24,0.0,0,296.0,3,500.24,1,0.0
12368,2010-06-01,2010-06,71,1,917.7,0.0,0,330.0,18,917.7,1,0.0
12369,2010-06-01,2010-06,84,1,348.32,0.0,0,209.0,9,348.32,1,0.0
12370,2010-06-01,2010-06,67,3,774.62,0.0,44,84.0,33,258.20666666666665,1,0.0
12371,2010-06-01,2010-06,88,2,607.6800000000001,0.0,0,126.0,32,303.84000000000003,1,0.0
12373,2010-06-01,2010-06,67,2,763.0500000000001,0.0,49,159.5,31,381.52500000000003,1,0.0
12374,2010-06-01,2010-06,31,1,1388.54,0.0,0,798.0,36,1388.54,1,0.0
12377,2010-06-01,2010-06,32,1,1210.96,0.0,0,835.0,47,1210.96,1,0.0
12378,2010-06-01,2010-06,5,1,1407.7,0.0,0,787.0,82,1407.7,1,0.0
12380,2010-06-01,2010-06,89,3,3217.3,0.25,16,206.0,53,1072.4333333333334,0,2597.35
12388,2010-06-01,2010-06,25,1,461.62,0.0,0,266.0,26,461.62,1,0.0
12389,2010-06-01,2010-06,10,2,563.03,0.0,88,126.0,23,281.515,1,0.0
12391,2010-06-01,2010-06,40,4,1902.19,0.2,65,188.25,96,475.5475,1,0.0
12392,2010-06-01,2010-06,34,1,234.75000000000003,0.0,0,73.0,7,234.75000000000003,1,0.0
12395,2010-06-01,2010-06,45,1,1125.44,0.0,0,734.0,52,1125.44,0,251.38
12396,2010-06-01,2010-06,117,1,931.43,0.0,0,591.0,65,931.43,1,0.0
12399,2010-06-01,2010-06,87,1,205.98,0.0,0,219.0,15,205.98,0,333.46999999999997
12402,2010-06-01,2010-06,43,2,505.35,0.3333333333333333,69,127.5,22,252.675,0,219.9
12404,2010-06-01,2010-06,125,1,63.24,0.0,0,1.0,1,63.24,1,0.0
12406,2010-06-01,2010-06,39,2,1629.2,0.0,101,514.0,32,814.6,1,0.0
12409,2010-06-01,2010-06,8,1,6802.48,0.0,0,4402.0,87,6802.48,0,313.08000000000004
12416,2010-06-01,2010-06,99,1,202.56,0.0,0,132.0,11,202.56,1,0.0
12417,2010-06-01,2010-06,60,5,1465.95,0.2857142857142857,115,150.0,83,293.19,0,530.8
12418,2010-06-01,2010-06,19,2,879.3100000000001,0.3333333333333333,53,174.5,36,439.65500000000003,1,0.0
12422,2010-06-01,2010-06,6,7,2676.34,0.2222222222222222,157,181.42857142857142,55,382.3342857142857,0,321.72999999999996
12426,2010-06-01,2010-06,105,1,762.48,0.5,0,326.0,47,762.48,1,0.0
12431,2010-06-01,2010-06,7,5,1967.76,0.0,129,172.6,78,393.552,0,1551.76
12435,2010-06-01,2010-06,80,2,1736.88,0.0,100,404.0,16,868.44,0,1838.3200000000002
12437,2010-06-01,2010-06,45,8,4261.22,0.2727272727272727,134,376.375,165,532.6525,0,981.8100000000001
12439,2010-06-01,2010-06,125,2,1158.18,0.3333333333333333,43,242.0,69,579.09,1,0.0
12440,2010-06-01,2010-06,160,1,568.51,0.0,0,255.0,21,568.51,1,0.0
12443,2010-06-01,2010-06,175,1,485.31,0.0,0,182.0,21,485.31,1,0.0
12455,2010-06-01,2010-06,20,3,2929.95,0.0,144,307.3333333333333,110,976.65,1,0.0
12459,2010-06-01,2010-06,48,1,454.36,0.0,0,258.0,23,454.36,1,0.0
12466,2010-06-01,2010-06,125,1,56.73,0.0,0,1.0,1,56.73,1,0.0
12468,2010-06-01,2010-06,52,2,2329.54,0.5,72,680.0,76,1164.77,0,611.66
12470,2010-06-01,2010-06,132,1,211.95,0.0,0,95.0,23,211.95,1,0.0
12471,2010-06-01,2010-06,14,23,8916.93,0.425,160,166.91304347826087,109,387.6926086956522,0,2826.9
12472,2010-06-01,2010-06,35,7,4302.29,0.5333333333333333,133,399.85714285714283,172,614.6128571428571,0,3327.86
12474,2010-06-01,2010-06,36,3,1088.3899999999999,0.25,73,236.0,64,362.7966666666666,0,983.13
12477,2010-06-01,2010-06,66,1,2021.23,0.0,0,841.0,105,2021.23,0,2464.63
12481,2010-06-01,2010-06,49,2,3275.6,0.3333333333333333,0,1054.5,51,1637.8,1,0.0
12482,2010-06-01,2010-06,19,29,23691.4,0.06451612903225806,77,932.4827586206897,42,816.944827586207,1,0.0
12483,2010-06-01,2010-06,38,5,1146.9,0.2857142857142857,82,97.4,23,229.38000000000002,0,206.20000000000002
12484,2010-06-01,2010-06,92,3,706.8,0.25,31,151.66666666666666,62,235.6,0,1121.63
12487,2010-06-01,2010-06,173,1,285.3,0.5,0,174.0,2,285.3,1,0.0
12490,2010-06-01,2010-06,24,7,2547.17,0.125,157,258.85714285714283,86,363.88142857142856,0,509.0
12494,2010-06-01,2010-06,19,1,344.87,0.5,0,204.0,20,344.87,1,0.0
12495,2010-06-01,2010-06,83,1,357.4,0.5,0,130.0,17,357.4,1,0.0
12496,2010-06-01,2010-06,63,2,54.09,0.0,0,16.5,10,27.045,1,0.0
12497,2010-06-01,2010-06,87,1,1211.76,0.5,0,893.0,17,1211.76,1,0.0
12499,2010-06-01,2010-06,3,1,393.71999999999997,0.0,0,302.0,27,393.71999999999997,1,0.0
12500,2010-06-01,2010-06,50,6,1327.04,0.4,65,93.66666666666667,57,221.17333333333332,0,145.5
12503,2010-06-01,2010-06,27,1,1126.0,0.0,0,561.0,2,1126.0,1,0.0
12504,2010-06-01,2010-06,39,1,134.4,0.0,0,121.0,6,134.4,1,0.0
12507,2010-06-01,2010-06,27,1,539.25,0.0,0,362.0,28,539.25,1,0.0
12510,2010-06-01,2010-06,67,6,3414.23,0.5384615384615384,111,197.5,58,569.0383333333333,1,0.0
12514,2010-06-01,2010-06,84,1,580.08,0.0,0,400.0,33,580.08,1,0.0
12516,2010-06-01,2010-06,42,1,689.46,0.0,0,512.0,25,689.46,1,0.0
12523,2010-06-01,2010-06,25,5,1379.27,0.375,149,152.2,63,275.854,0,608.61
12524,2010-06-01,2010-06,68,3,2282.58,0.0,43,512.0,13,760.86,0,1108.8
12525,2010-06-01,2010-06,90,1,566.4300000000001,0.75,0,285.0,33,566.4300000000001,0,407.3
12530,2010-06-01,2010-06,40,2,657.54,0.0,44,230.0,29,328.77,0,509.2
12531,2010-06-01,2010-06,129,1,1807.98,0.5,0,1074.0,110,1807.98,1,0.0
12533,2010-06-01,2010-06,70,2,1367.89,0.6666666666666666,110,352.0,63,683.945,1,0.0
12539,2010-06-01,2010-06,159,2,5149.06,0.0,0,1064.0,104,2574.53,1,0.0
12540,2010-06-01,2010-06,18,10,4065.57,0.09090909090909091,156,186.9,97,406.557,0,623.64
12542,2010-06-01,2010-06,83,1,364.79,0.6666666666666666,0,353.0,25,364.79,0,117.09
12549,2010-06-01,2010-06,18,6,1575.68,0.0,121,227.66666666666666,38,262.61333333333334,1,0.0
12555,2010-06-01,2010-06,125,1,129.23,0.0,0,1.0,1,129.23,1,0.0
12557,2010-06-01,2010-06,165,1,1952.64,0.0,0,576.0,3,1952.64,0,1708.56
12567,2010-06-01,2010-06,25,2,871.13,0.3333333333333333,83,176.5,39,435.565,0,1105.77
12568,2010-06-01,2010-06,87,1,70.0,0.0,0,48.0,5,70.0,1,0.0
12570,2010-06-01,2010-06,125,1,77.52,0.0,0,1.0,1,77.52,1,0.0
12577,2010-06-01,2010-06,179,1,210.55,0.0,0,79.0,13,210.55,1,0.0
12580,2010-06-01,2010-06,19,1,637.2,0.0,0,331.0,34,637.2,1,0.0
12582,2010-06-01,2010-06,20,1,837.11,0.0,0,370.0,53,837.11,1,0.0
12583,2010-06-01,2010-06,10,5,2895.85,0.0,165,299.0,59,579.17,0,1178.2
12586,2010-06-01,2010-06,166,1,422.35,0.0,0,157.0,19,422.35,1,0.0
12588,2010-06-01,2010-06,40,1,328.9,0.5,0,172.0,17,328.9,1,0.0
12589,2010-06-01,2010-06,132,1,715.5,0.0,0,307.0,43,715.5,1,0.0
12594,2010-06-01,2010-06,89,1,154.14,0.0,0,99.0,12,154.14,0,254.7
12598,2010-06-01,2010-06,89,2,649.71,0.3333333333333333,2,189.0,39,324.855,1,0.0
12599,2010-06-01,2010-06,20,1,499.48,0.0,0,498.0,27,499.48,0,247.48000000000002
12600,2010-06-01,2010-06,20,6,1392.81,0.3333333333333333,154,64.5,25,232.135,0,147.11
12606,2010-06-01,2010-06,125,1,21.0,0.0,0,1.0,1,21.0,1,0.0
12609,2010-06-01,2010-06,4,3,1025.75,0.0,158,125.0,35,341.9166666666667,0,441.81
12613,2010-06-01,2010-06,52,2,1743.43,0.5,116,536.5,78,871.715,0,1297.12
12615,2010-06-01,2010-06,74,1,1155.48,0.6666666666666666,0,617.0,61,1155.48,0,1212.0
12619,2010-06-01,2010-06,3,1,140.14,0.0,0,140.0,10,140.14,1,0.0
12621,2010-06-01,2010-06,8,4,2566.5,0.2,103,396.25,80,641.625,0,3446.11
12623,2010-06-01,2010-06,41,3,2338.59,0.25,97,383.0,82,779.5300000000001,0,381.2
12625,2010-06-01,2010-06,39,1,969.69,0.0,0,524.0,38,969.69,0,1511.37
12631,2010-06-01,2010-06,40,3,1664.41,0.0,95,246.33333333333334,71,554.8033333333334,0,534.14
12632,2010-06-01,2010-06,7,1,394.32,0.6666666666666666,0,387.0,14,394.32,0,410.56
12636,2010-06-01,2010-06,181,1,141.0,0.0,0,1.0,1,141.0,1,0.0
12638,2010-06-01,2010-06,82,1,249.8,0.0,0,86.0,9,249.8,1,0.0
12639,2010-06-01,2010-06,70,1,253.58,0.0,0,145.0,15,253.58,1,0.0
12643,2010-06-01,2010-06,3,2,2304.4,0.5,51,670.0,9,1152.2,0,15.0
12644,2010-06-01,2010-06,113,2,868.13,0.5,24,184.0,46,434.065,1,0.0
12645,2010-06-01,2010-06,89,2,846.74,0.3333333333333333,21,224.0,39,423.37,1,0.0
